timestamp,frame,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,left_rot_w,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,right_rot_w
0.000000,0,-0.231554,-0.846672,0.063857,0.545603,0.079787,-0.456488,0.698262,0.076628,-0.519525,0.583011,-0.422208,-0.014695,-0.082048,-0.902659
0.014496,1,-0.231548,-0.846324,0.063780,0.546116,0.079097,-0.455496,0.698588,0.077219,-0.521181,0.584149,-0.418400,-0.021404,-0.083488,-0.904164
0.028381,2,-0.231689,-0.846230,0.063648,0.546413,0.078497,-0.454989,0.698753,0.078221,-0.521643,0.585405,-0.411921,-0.030353,-0.089133,-0.906342
0.042206,3,-0.232219,-0.845540,0.062780,0.546569,0.077942,-0.454397,0.699078,0.078813,-0.523385,0.586202,-0.408195,-0.038147,-0.099047,-0.906703
0.056366,4,-0.232278,-0.845223,0.062809,0.547024,0.077019,-0.453236,0.699579,0.079254,-0.525903,0.584748,-0.414489,-0.048742,-0.116908,-0.901197
0.069977,5,-0.232400,-0.844804,0.062727,0.547504,0.076286,-0.452289,0.699897,0.079213,-0.529488,0.583437,-0.428463,-0.055924,-0.125247,-0.893088
0.084198,6,-0.232712,-0.844411,0.062522,0.547925,0.076013,-0.451470,0.700125,0.079005,-0.534095,0.582942,-0.453169,-0.054545,-0.119883,-0.881641
0.097473,7,-0.233140,-0.843926,0.062249,0.548491,0.075568,-0.450304,0.700481,0.078440,-0.537717,0.582402,-0.471385,-0.053247,-0.133340,-0.870162
0.111694,8,-0.233445,-0.843836,0.062189,0.549277,0.075031,-0.449068,0.700716,0.077337,-0.540212,0.581786,-0.480135,-0.046709,-0.154907,-0.862144
0.125427,9,-0.234059,-0.843150,0.062125,0.549947,0.074568,-0.447825,0.701035,0.075402,-0.542115,0.580942,-0.489176,-0.034314,-0.210506,-0.845705
0.139343,10,-0.234104,-0.843050,0.062248,0.550414,0.074221,-0.446859,0.701322,0.073625,-0.542466,0.580409,-0.494744,-0.018429,-0.246995,-0.832996
0.153320,11,-0.234113,-0.842814,0.062361,0.550664,0.074215,-0.446090,0.701616,0.072726,-0.539060,0.581377,-0.498794,-0.008900,-0.265545,-0.824992
0.167053,12,-0.234214,-0.842672,0.062493,0.551191,0.073767,-0.445348,0.701721,0.072206,-0.532230,0.583589,-0.503776,-0.000411,-0.263962,-0.822517
0.180969,13,-0.234252,-0.842517,0.062615,0.551160,0.073626,-0.445431,0.701707,0.072047,-0.521971,0.586812,-0.500827,0.008464,-0.254013,-0.827392
0.194794,14,-0.234418,-0.842488,0.062553,0.550753,0.073418,-0.445912,0.701743,0.072174,-0.508229,0.591431,-0.485650,0.013362,-0.253071,-0.836613
0.209320,15,-0.234702,-0.842470,0.062299,0.550561,0.073132,-0.446244,0.701713,0.073436,-0.492673,0.596917,-0.467502,0.005417,-0.268729,-0.842139
0.222717,16,-0.234704,-0.842362,0.062352,0.550476,0.072707,-0.446426,0.701708,0.074888,-0.474318,0.604909,-0.451342,-0.007545,-0.289310,-0.844117
