timestamp,frame,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,left_rot_w,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,right_rot_w
0.000000,0,-0.066649,-0.431239,0.375909,0.098199,0.033927,-0.170648,0.979839,0.027755,-0.486023,0.386606,-0.223375,0.255203,-0.047875,-0.939512
0.014854,1,-0.065637,-0.432081,0.376679,0.103245,0.036693,-0.175201,0.978416,0.024776,-0.487829,0.385640,-0.231622,0.266046,-0.072650,-0.932895
0.028549,2,-0.063961,-0.433100,0.376804,0.106937,0.046164,-0.180269,0.976697,0.021897,-0.489026,0.384480,-0.239623,0.279412,-0.087426,-0.925671
0.041695,3,-0.062000,-0.434099,0.376792,0.108621,0.055950,-0.184709,0.975169,0.019477,-0.488629,0.383641,-0.246248,0.289998,-0.082798,-0.921090
0.055206,4,-0.060100,-0.435239,0.377061,0.113108,0.064639,-0.188795,0.973337,0.018175,-0.486362,0.384187,-0.247548,0.294253,-0.064272,-0.920871
0.069946,5,-0.058717,-0.436422,0.377629,0.119904,0.073023,-0.189910,0.971712,0.016596,-0.483928,0.385148,-0.247856,0.300095,-0.048282,-0.919880
0.083298,6,-0.057840,-0.437132,0.378639,0.123465,0.079795,-0.192306,0.970262,0.014602,-0.482432,0.386089,-0.250521,0.307593,-0.041962,-0.916987
0.096718,7,-0.057439,-0.437080,0.380237,0.121969,0.085095,-0.195056,0.969451,0.011998,-0.482363,0.387176,-0.259049,0.314076,-0.049610,-0.912024
0.110687,8,-0.056929,-0.436678,0.382100,0.120728,0.089889,-0.195039,0.969177,0.009098,-0.483263,0.388000,-0.269025,0.321173,-0.070462,-0.905267
0.124939,9,-0.056308,-0.436174,0.384636,0.121193,0.096886,-0.192712,0.968911,0.006008,-0.484020,0.389627,-0.273270,0.325962,-0.100417,-0.899438
0.139183,10,-0.055367,-0.436306,0.387327,0.125757,0.106656,-0.191097,0.967622,0.004043,-0.482157,0.393564,-0.267619,0.325860,-0.112722,-0.899716
0.152710,11,-0.054157,-0.437214,0.390795,0.134527,0.118095,-0.191603,0.965010,0.003181,-0.478991,0.399831,-0.265091,0.317641,-0.105002,-0.904326
0.166359,12,-0.053071,-0.437884,0.394602,0.140662,0.127950,-0.193318,0.962534,0.002642,-0.475460,0.407347,-0.264609,0.308945,-0.092023,-0.908882
0.180100,13,-0.052631,-0.437085,0.399955,0.141937,0.133446,-0.190914,0.962080,0.002292,-0.471895,0.416762,-0.263530,0.304198,-0.084990,-0.911478
0.193810,14,-0.052823,-0.434833,0.405905,0.144284,0.135221,-0.180868,0.963423,0.000735,-0.470699,0.422993,-0.266573,0.310910,-0.096803,-0.907140
0.208267,15,-0.053439,-0.432191,0.413160,0.153681,0.136273,-0.161682,0.965231,-0.001405,-0.470581,0.428687,-0.273303,0.320274,-0.114974,-0.899728
0.221985,16,-0.054233,-0.429753,0.421087,0.167075,0.135865,-0.142815,0.966039,-0.003115,-0.469753,0.435751,-0.279255,0.324530,-0.128006,-0.894602
