timestamp,frame,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,left_rot_w,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,right_rot_w
0.000000,0,-0.281463,-0.830597,0.087324,-0.473908,-0.056514,0.416533,-0.773769,-0.034003,-0.402719,0.509652,0.167573,-0.030009,0.536838,0.826331
0.013763,1,-0.280590,-0.830500,0.087662,-0.473635,-0.056923,0.416029,-0.774177,-0.051005,-0.383557,0.495439,0.109424,-0.054995,0.533979,0.836581
0.027313,2,-0.279620,-0.830281,0.088044,-0.473265,-0.057889,0.415832,-0.774437,-0.071229,-0.360710,0.474911,0.018380,-0.077408,0.551071,0.830657
0.041473,3,-0.278405,-0.830082,0.088247,-0.472938,-0.059524,0.416111,-0.774363,-0.089539,-0.340718,0.452596,-0.066561,-0.101590,0.569995,0.812622
0.055573,4,-0.277112,-0.830310,0.088367,-0.472545,-0.062504,0.416918,-0.773934,-0.107478,-0.320081,0.424565,-0.159861,-0.131452,0.583652,0.785185
0.069672,5,-0.275352,-0.830357,0.088105,-0.471767,-0.067154,0.418884,-0.772957,-0.122585,-0.298475,0.395160,-0.251077,-0.154903,0.578239,0.760661
0.082947,6,-0.274148,-0.830377,0.087685,-0.471761,-0.071193,0.420869,-0.771520,-0.132019,-0.273314,0.363649,-0.341399,-0.156702,0.538486,0.754270
0.096924,7,-0.273189,-0.830296,0.087440,-0.472247,-0.074700,0.421747,-0.770411,-0.138727,-0.249707,0.336361,-0.409162,-0.155189,0.490063,0.753884
0.110870,8,-0.271961,-0.828562,0.087812,-0.472093,-0.078213,0.423129,-0.769398,-0.139023,-0.226286,0.310896,-0.460056,-0.144346,0.430878,0.762796
0.124908,9,-0.271163,-0.828326,0.088080,-0.471081,-0.081429,0.424482,-0.768939,-0.137447,-0.204750,0.287469,-0.515427,-0.120435,0.381988,0.757573
0.139130,10,-0.270483,-0.827983,0.088599,-0.470278,-0.083971,0.425593,-0.768544,-0.131437,-0.186706,0.264876,-0.575436,-0.087735,0.335517,0.740679
