timestamp,frame,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,left_rot_w,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,right_rot_w
0.000000,0,-0.179548,-0.747759,0.151058,0.288702,0.082585,-0.053305,0.952360,0.098698,-0.404173,0.616572,-0.234436,-0.137746,0.027742,-0.961923
0.014206,1,-0.179423,-0.747814,0.150930,0.289150,0.082486,-0.053065,0.952246,0.093637,-0.370726,0.617505,-0.200429,-0.090337,0.055414,-0.973959
0.028091,2,-0.179357,-0.747943,0.150800,0.289709,0.082482,-0.052808,0.952091,0.092689,-0.336067,0.617344,-0.167708,-0.068834,0.103823,-0.977935
0.041962,3,-0.179139,-0.748086,0.150678,0.290170,0.082787,-0.052806,0.951924,0.093537,-0.298018,0.614551,-0.129032,-0.052657,0.154481,-0.978117
0.055771,4,-0.178929,-0.748226,0.150623,0.290707,0.082935,-0.052605,0.951758,0.094562,-0.257938,0.607642,-0.084768,-0.034913,0.192684,-0.976969
0.070496,5,-0.178668,-0.748399,0.150574,0.291347,0.082650,-0.051620,0.951641,0.098312,-0.216016,0.595499,-0.036153,-0.036109,0.218666,-0.974461
0.084564,6,-0.178529,-0.748636,0.150567,0.292300,0.081926,-0.049821,0.951508,0.103438,-0.177445,0.581027,0.011824,-0.045247,0.239094,-0.969870
0.098099,7,-0.178572,-0.749142,0.150642,0.294552,0.080309,-0.047598,0.951065,0.107172,-0.137914,0.559431,0.069353,-0.046312,0.242956,-0.966446
0.111572,8,-0.178711,-0.749888,0.150842,0.297998,0.077921,-0.044688,0.950331,0.107646,-0.098949,0.531567,0.144307,-0.029704,0.225819,-0.962964
0.126312,9,-0.178603,-0.750220,0.151043,0.299811,0.076807,-0.044256,0.949871,0.106382,-0.062972,0.496560,0.229048,-0.021248,0.181002,-0.956203
0.139496,10,-0.178210,-0.750009,0.151067,0.299743,0.077150,-0.045700,0.949797,0.107356,-0.030891,0.463163,0.302429,-0.031477,0.149370,-0.940869
0.152542,11,-0.177712,-0.749463,0.150951,0.298415,0.078699,-0.047571,0.949996,0.110365,-0.004659,0.424812,0.371416,-0.057050,0.132922,-0.917130
0.166550,12,-0.177169,-0.749261,0.150897,0.297746,0.079705,-0.048618,0.950069,0.113952,0.016173,0.385688,0.435792,-0.081187,0.130015,-0.886900
0.180359,13,-0.176162,-0.749172,0.150847,0.297089,0.080741,-0.049912,0.950120,0.117485,0.033815,0.347936,0.497509,-0.104214,0.129422,-0.851395
0.194565,14,-0.175143,-0.749015,0.150741,0.296321,0.081423,-0.050104,0.950291,0.121201,0.042482,0.306000,0.557858,-0.134428,0.132302,-0.808220
0.208481,15,-0.174621,-0.749161,0.150653,0.296793,0.081403,-0.049875,0.950158,0.123994,0.048657,0.264689,0.618099,-0.159387,0.132164,-0.758342
0.222183,16,-0.173462,-0.749597,0.150469,0.298206,0.081487,-0.049401,0.949733,0.125824,0.046717,0.223500,0.674852,-0.184496,0.133245,-0.701985
0.236038,17,-0.172099,-0.750295,0.150227,0.300575,0.081475,-0.048292,0.949044,0.127931,0.044606,0.186748,0.724426,-0.213566,0.135827,-0.641208
0.250229,18,-0.170705,-0.751412,0.150082,0.304161,0.080921,-0.047047,0.948011,0.129192,0.032775,0.152747,0.760858,-0.248300,0.143064,-0.582215
0.264374,19,-0.170259,-0.751835,0.150173,0.305033,0.080035,-0.046550,0.947831,0.129879,0.023297,0.121431,0.789315,-0.277362,0.145790,-0.528013
0.278381,20,-0.169912,-0.751907,0.150393,0.304677,0.078846,-0.045374,0.948102,0.128679,0.009262,0.093190,0.812823,-0.299477,0.143745,-0.478509
0.292221,21,-0.169417,-0.751885,0.150620,0.304198,0.077390,-0.044193,0.948431,0.126245,-0.011149,0.070104,0.835187,-0.313274,0.146212,-0.427720
0.306274,22,-0.168866,-0.751962,0.150765,0.304466,0.075792,-0.043128,0.948523,0.125181,-0.026726,0.048113,0.858571,-0.313069,0.154735,-0.375368
0.319611,23,-0.168232,-0.752055,0.150849,0.305032,0.074193,-0.042478,0.948497,0.124369,-0.044766,0.031287,0.876412,-0.306433,0.167237,-0.331713
0.333344,24,-0.167690,-0.752144,0.150852,0.305376,0.072787,-0.042114,0.948512,0.124160,-0.061582,0.018348,0.884323,-0.312269,0.181647,-0.295747
0.347321,25,-0.166938,-0.752213,0.150759,0.306113,0.071542,-0.041042,0.948415,0.124585,-0.077021,0.007771,0.883632,-0.328938,0.200018,-0.266433
0.361466,26,-0.166256,-0.752206,0.150532,0.306428,0.071828,-0.040962,0.948296,0.125370,-0.092197,0.001167,0.882064,-0.335508,0.223535,-0.243781
0.375977,27,-0.165800,-0.752221,0.150351,0.306616,0.072396,-0.041392,0.948173,0.126000,-0.104752,-0.006159,0.883390,-0.331359,0.242421,-0.225954
0.389237,28,-0.165093,-0.752224,0.150160,0.306626,0.072847,-0.041470,0.948132,0.126118,-0.114864,-0.009682,0.886788,-0.317005,0.254872,-0.219443
0.402939,29,-0.164345,-0.752290,0.150060,0.306693,0.072777,-0.041658,0.948107,0.124914,-0.122271,-0.011386,0.892478,-0.302680,0.254302,-0.217251
0.416901,30,-0.163682,-0.752352,0.149992,0.306662,0.072692,-0.041840,0.948116,0.122862,-0.125745,-0.009284,0.897367,-0.295759,0.242058,-0.220607
0.430389,31,-0.162608,-0.752400,0.149867,0.306868,0.072449,-0.042141,0.948055,0.121268,-0.127066,-0.005831,0.897635,-0.304029,0.229871,-0.221307
0.444901,32,-0.161547,-0.752388,0.149732,0.307040,0.072105,-0.042305,0.948018,0.120641,-0.126257,0.000938,0.894138,-0.317997,0.222953,-0.222908
0.458725,33,-0.160476,-0.752371,0.149624,0.307351,0.071848,-0.042362,0.947934,0.121230,-0.122823,0.010819,0.888472,-0.327853,0.220946,-0.233052
0.472443,34,-0.159466,-0.752336,0.149553,0.307464,0.071509,-0.042324,0.947925,0.122566,-0.117414,0.021980,0.880905,-0.332712,0.221626,-0.253361
0.486420,35,-0.158360,-0.752244,0.149482,0.307269,0.071084,-0.042436,0.948015,0.124906,-0.105096,0.040220,0.866662,-0.329468,0.222309,-0.301541
0.500122,36,-0.157275,-0.752133,0.149402,0.307057,0.070771,-0.042804,0.948090,0.126402,-0.092690,0.057082,0.851510,-0.320476,0.216960,-0.353771
0.514160,37,-0.155869,-0.751998,0.149289,0.306876,0.070462,-0.043525,0.948139,0.126504,-0.076456,0.078421,0.827414,-0.311407,0.199185,-0.422773
0.528122,38,-0.154082,-0.751804,0.149144,0.306532,0.070163,-0.044814,0.948213,0.125043,-0.060821,0.102622,0.796906,-0.303701,0.175195,-0.491949
0.541840,39,-0.152669,-0.751646,0.148999,0.306282,0.070501,-0.045674,0.948227,0.121712,-0.047813,0.131998,0.761359,-0.296216,0.149363,-0.557027
0.555603,40,-0.150963,-0.751395,0.148779,0.305528,0.071218,-0.047006,0.948352,0.118003,-0.039357,0.164720,0.721171,-0.290985,0.130829,-0.614918
0.569748,41,-0.149789,-0.751093,0.148568,0.304450,0.071551,-0.047571,0.948645,0.114610,-0.034043,0.197061,0.679284,-0.283299,0.116248,-0.666935
0.584137,42,-0.148263,-0.750868,0.148281,0.303734,0.071914,-0.049202,0.948764,0.110290,-0.032441,0.234662,0.628140,-0.268306,0.102829,-0.723103
0.598373,43,-0.147601,-0.750906,0.148088,0.303899,0.071540,-0.049645,0.948716,0.105109,-0.034515,0.276080,0.563212,-0.248801,0.087819,-0.783057
0.611343,44,-0.147651,-0.751029,0.148024,0.304258,0.071184,-0.048719,0.948676,0.098399,-0.040858,0.321396,0.481898,-0.228101,0.064718,-0.843538
0.625305,45,-0.147216,-0.751095,0.147852,0.304773,0.070595,-0.047802,0.948602,0.088538,-0.054957,0.371714,0.383918,-0.199068,0.025548,-0.901292
0.639328,46,-0.145771,-0.751054,0.147375,0.305124,0.069478,-0.046690,0.948627,0.078083,-0.072146,0.419030,0.287733,-0.163470,-0.012550,-0.943573
0.652786,47,-0.144290,-0.750944,0.146754,0.305073,0.067258,-0.044973,0.948886,0.065977,-0.097173,0.465153,0.192914,-0.108720,-0.046324,-0.974073
0.666733,48,-0.143290,-0.750823,0.146215,0.305081,0.065237,-0.043269,0.949104,0.051240,-0.137722,0.508490,0.096743,-0.025612,-0.066561,-0.992751
0.680786,49,-0.142207,-0.750617,0.145434,0.304970,0.062137,-0.041285,0.949436,0.037490,-0.182068,0.544678,0.002226,0.059681,-0.073987,-0.995469
0.694748,50,-0.141687,-0.750427,0.144843,0.304757,0.060134,-0.040428,0.949670,0.025638,-0.235519,0.574812,-0.099214,0.112673,-0.076312,-0.985717
0.708466,51,-0.141363,-0.750166,0.144275,0.304109,0.059016,-0.039611,0.949982,0.015716,-0.285384,0.595689,-0.154601,0.149934,-0.084380,-0.972882
0.722687,52,-0.141112,-0.749825,0.143548,0.303440,0.058158,-0.038656,0.950288,0.010563,-0.334200,0.608818,-0.192010,0.166720,-0.081163,-0.963716
