timestamp,frame,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,left_rot_w,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,right_rot_w
0.000000,0,-0.301291,-0.817291,0.071383,0.726705,-0.205488,-0.036849,0.654459,0.036492,-0.553458,0.546897,-0.413593,0.042456,0.016699,-0.909318
0.014648,1,-0.301053,-0.817254,0.071217,0.726948,-0.205429,-0.036871,0.654206,0.035303,-0.553511,0.546451,-0.415006,0.053316,0.010700,-0.908192
0.028748,2,-0.300672,-0.817181,0.071025,0.727236,-0.205291,-0.036895,0.653928,0.035338,-0.553419,0.546656,-0.418446,0.056079,0.015977,-0.906368
0.042603,3,-0.300298,-0.817105,0.070835,0.727644,-0.205028,-0.036761,0.653565,0.036796,-0.551994,0.548224,-0.419530,0.050097,0.033134,-0.905752
0.056152,4,-0.299970,-0.816858,0.069794,0.728100,-0.204394,-0.036553,0.653267,0.038502,-0.549816,0.550580,-0.415756,0.043565,0.042519,-0.907437
0.069885,5,-0.299918,-0.816893,0.069974,0.728270,-0.203877,-0.036690,0.653231,0.039961,-0.547238,0.552762,-0.413221,0.038119,0.037585,-0.909056
0.083801,6,-0.299829,-0.816903,0.069835,0.728544,-0.203418,-0.036810,0.653062,0.041253,-0.544976,0.554614,-0.415248,0.033586,0.022968,-0.908798
0.097107,7,-0.299557,-0.816766,0.069222,0.728935,-0.203094,-0.037080,0.652712,0.042766,-0.542271,0.557131,-0.424439,0.027117,-0.008902,-0.905007
0.110779,8,-0.299399,-0.816648,0.068802,0.729275,-0.202963,-0.037283,0.652361,0.044900,-0.535728,0.560844,-0.419717,0.025343,-0.019191,-0.907098
0.124756,9,-0.299280,-0.816569,0.068806,0.729632,-0.202972,-0.037767,0.651930,0.047449,-0.525322,0.565745,-0.407809,0.019641,-0.020741,-0.912621
0.138733,10,-0.298631,-0.816597,0.067607,0.729846,-0.202488,-0.038332,0.651808,0.049960,-0.512349,0.571370,-0.394303,0.014494,-0.011681,-0.918792
0.153503,11,-0.298529,-0.816473,0.068257,0.730109,-0.201221,-0.039390,0.651843,0.052414,-0.494376,0.578021,-0.369058,0.007787,0.000965,-0.929373
0.167114,12,-0.298131,-0.815893,0.068860,0.729985,-0.199015,-0.040874,0.652568,0.053558,-0.472319,0.584683,-0.334230,0.002792,0.005770,-0.942470
0.180237,13,-0.297749,-0.815173,0.069084,0.729870,-0.197971,-0.041773,0.652957,0.052539,-0.447512,0.590365,-0.287351,0.007846,0.001360,-0.957792
0.195129,14,-0.297457,-0.814370,0.069260,0.729696,-0.197236,-0.042716,0.653312,0.051598,-0.423393,0.594861,-0.237914,0.012303,-0.002136,-0.971206
0.208740,15,-0.297620,-0.814143,0.070088,0.729554,-0.196605,-0.044160,0.653565,0.051285,-0.395849,0.598283,-0.178258,0.007213,-0.003462,-0.983951
