timestamp,frame,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,left_rot_w,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,right_rot_w
0.000000,0,-0.312510,-0.836279,0.045555,0.494348,-0.017764,-0.457326,0.739025,-0.018762,-0.613865,0.408751,-0.362300,0.039982,0.203474,-0.908702
0.014221,1,-0.312377,-0.836376,0.045605,0.494255,-0.017657,-0.457305,0.739103,-0.020118,-0.615916,0.408667,-0.357688,0.028916,0.123740,-0.925155
0.028259,2,-0.311960,-0.836484,0.045803,0.493965,-0.017023,-0.457442,0.739227,-0.020714,-0.617004,0.408618,-0.339684,0.014858,0.033376,-0.939830
0.041931,3,-0.311310,-0.836580,0.046009,0.493106,-0.015937,-0.458032,0.739459,-0.020614,-0.615887,0.409911,-0.292337,-0.001199,-0.075105,-0.953361
0.055786,4,-0.311170,-0.836622,0.046082,0.492896,-0.015848,-0.458097,0.739561,-0.021022,-0.615867,0.410913,-0.256611,-0.011441,-0.166451,-0.952005
0.069946,5,-0.311217,-0.836651,0.046040,0.492981,-0.015989,-0.457905,0.739620,-0.021833,-0.617449,0.410701,-0.235286,-0.014299,-0.246081,-0.940149
0.084045,6,-0.311111,-0.836782,0.046032,0.493111,-0.016123,-0.457459,0.739806,-0.023257,-0.619901,0.409338,-0.213891,-0.007347,-0.328531,-0.919926
0.097656,7,-0.311005,-0.836911,0.046013,0.493121,-0.015942,-0.457381,0.739852,-0.023428,-0.622491,0.408346,-0.196472,-0.007562,-0.387706,-0.900569
0.111633,8,-0.310761,-0.837138,0.046069,0.492925,-0.015405,-0.457632,0.739839,-0.022071,-0.625194,0.408503,-0.194539,-0.017721,-0.413547,-0.889280
0.125244,9,-0.310685,-0.837274,0.046141,0.492818,-0.014944,-0.457752,0.739845,-0.019228,-0.626888,0.411173,-0.227792,-0.040682,-0.362618,-0.902753
0.139221,10,-0.310722,-0.837226,0.046166,0.492816,-0.015110,-0.457667,0.739895,-0.014735,-0.625044,0.415556,-0.338292,-0.064832,-0.123541,-0.930641
0.153259,11,-0.310594,-0.837382,0.046291,0.492783,-0.015576,-0.457302,0.740133,-0.012618,-0.620393,0.414596,-0.425219,-0.040241,0.179342,-0.886231
0.166931,12,-0.310605,-0.837486,0.046526,0.492901,-0.017069,-0.456490,0.740523,-0.016353,-0.616739,0.410158,-0.457971,0.023615,0.379104,-0.803732
0.180664,13,-0.310671,-0.837476,0.046689,0.493002,-0.018623,-0.455813,0.740836,-0.024449,-0.614335,0.407253,-0.468678,0.087681,0.451283,-0.754319
0.195129,14,-0.310274,-0.836724,0.046527,0.493016,-0.019366,-0.455581,0.740950,-0.031973,-0.607513,0.405429,-0.449909,0.141276,0.460813,-0.751848
0.208740,15,-0.310184,-0.836642,0.046353,0.493124,-0.019134,-0.455316,0.741047,-0.034412,-0.597758,0.406287,-0.407585,0.173765,0.478651,-0.758006
0.222473,16,-0.310057,-0.836571,0.046178,0.493219,-0.019185,-0.454961,0.741200,-0.033058,-0.588111,0.409082,-0.366939,0.186683,0.537057,-0.736258
0.236511,17,-0.309919,-0.836637,0.046096,0.493445,-0.019479,-0.454217,0.741498,-0.030330,-0.578090,0.410811,-0.331260,0.200684,0.600717,-0.699379
0.250366,18,-0.309769,-0.836786,0.045976,0.493790,-0.020045,-0.453468,0.741712,-0.028600,-0.570388,0.409217,-0.312440,0.224163,0.632020,-0.672817
0.264221,19,-0.309713,-0.836926,0.045874,0.493909,-0.020476,-0.453041,0.741882,-0.029460,-0.566357,0.405811,-0.314044,0.249092,0.620386,-0.674130
0.278137,20,-0.309683,-0.836884,0.045931,0.494015,-0.020816,-0.452812,0.741942,-0.031500,-0.564203,0.401690,-0.306676,0.265944,0.540997,-0.736577
0.291870,21,-0.309708,-0.836936,0.045807,0.494082,-0.020852,-0.452954,0.741809,-0.032773,-0.561668,0.398943,-0.275636,0.269748,0.469923,-0.793998
0.305847,22,-0.309748,-0.837093,0.045578,0.494394,-0.020889,-0.452907,0.741629,-0.033514,-0.563827,0.398135,-0.234840,0.249634,0.382523,-0.858027
0.319580,23,-0.309705,-0.837728,0.044835,0.495772,-0.020758,-0.452910,0.740710,-0.035259,-0.579434,0.402502,-0.217484,0.138107,0.178859,-0.949546
0.333557,24,-0.309670,-0.838043,0.044483,0.496181,-0.020613,-0.453492,0.740084,-0.038344,-0.596135,0.406292,-0.229421,0.054783,-0.002054,-0.971782
0.347412,25,-0.309637,-0.838290,0.044165,0.496519,-0.020348,-0.453829,0.739659,-0.040723,-0.612927,0.408338,-0.242190,0.001646,-0.154599,-0.957831
