timestamp,frame,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,left_rot_w,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,right_rot_w
0.000000,0,-0.104811,-0.611092,0.163629,0.233597,0.436317,-0.377324,0.782743,0.059118,-0.635735,0.200815,-0.237991,0.451017,-0.450309,-0.732916
0.014114,1,-0.104624,-0.615731,0.159576,0.225213,0.448807,-0.403257,0.765007,0.056275,-0.636620,0.199610,-0.223962,0.445388,-0.460017,-0.734748
0.027924,2,-0.105597,-0.619956,0.157033,0.229118,0.457631,-0.418081,0.750524,0.053707,-0.637687,0.198129,-0.214933,0.446433,-0.466939,-0.732441
0.041672,3,-0.106358,-0.623309,0.155601,0.236422,0.465973,-0.423518,0.740005,0.051392,-0.639021,0.196255,-0.219122,0.449270,-0.468796,-0.728267
0.055603,4,-0.107588,-0.625345,0.155862,0.244609,0.473261,-0.419898,0.734763,0.050065,-0.639920,0.195045,-0.230214,0.454512,-0.468664,-0.721647
0.070145,5,-0.108154,-0.626357,0.157077,0.249889,0.479146,-0.413730,0.732668,0.049282,-0.641972,0.194194,-0.237605,0.453713,-0.487223,-0.707321
0.084000,6,-0.108430,-0.626457,0.158675,0.252821,0.484089,-0.408100,0.731570,0.049758,-0.645495,0.193143,-0.236435,0.455940,-0.529025,-0.675537
0.098038,7,-0.109186,-0.625372,0.160970,0.251727,0.488845,-0.403767,0.731188,0.050439,-0.649143,0.191414,-0.239152,0.462698,-0.568332,-0.636958
0.111694,8,-0.109931,-0.623954,0.163094,0.251281,0.495836,-0.401675,0.727779,0.050941,-0.652035,0.189642,-0.245960,0.472245,-0.597683,-0.599386
0.125641,9,-0.110872,-0.621589,0.165850,0.255096,0.504893,-0.397449,0.722526,0.050151,-0.651568,0.189597,-0.242111,0.486327,-0.615721,-0.570751
0.139648,10,-0.111955,-0.617828,0.169263,0.255560,0.514675,-0.394367,0.717129,0.045266,-0.646474,0.192942,-0.218682,0.494907,-0.611794,-0.577021
0.153214,11,-0.113235,-0.613152,0.172860,0.249359,0.525794,-0.394592,0.711097,0.037576,-0.640764,0.199289,-0.198499,0.491503,-0.598999,-0.600186
0.166901,12,-0.115485,-0.605841,0.178162,0.235962,0.541630,-0.394619,0.703729,0.028584,-0.634540,0.208841,-0.188080,0.473518,-0.582272,-0.633535
0.180512,13,-0.117558,-0.598666,0.184477,0.222899,0.554301,-0.394523,0.698153,0.021083,-0.628654,0.217054,-0.167628,0.469733,-0.581826,-0.642441
0.194733,14,-0.119401,-0.591464,0.192647,0.213767,0.561445,-0.393488,0.695882,0.016982,-0.625041,0.221879,-0.151604,0.478066,-0.594438,-0.628581
0.208481,15,-0.121144,-0.584320,0.202587,0.208192,0.562635,-0.393014,0.696878,0.014864,-0.622042,0.227162,-0.145333,0.488748,-0.612001,-0.604532
