timestamp,frame,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,left_rot_w,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,right_rot_w
530.733300,38206,-0.327882,-0.865610,-0.340042,0.208572,-0.323528,-0.179150,0.905391,-0.371480,-0.435560,-0.200435,-0.630546,-0.698720,-0.247746,0.229835
530.747800,38207,-0.324692,-0.865821,-0.338703,0.206612,-0.333166,-0.176146,0.902931,-0.368671,-0.433812,-0.202126,-0.654660,-0.687164,-0.220693,0.224768
530.762600,38208,-0.321428,-0.866036,-0.337182,0.204752,-0.342013,-0.173185,0.900617,-0.364729,-0.431214,-0.202725,-0.691613,-0.665010,-0.185493,0.212193
530.775000,38209,-0.317898,-0.865895,-0.335492,0.202424,-0.349916,-0.170336,0.898649,-0.359772,-0.429086,-0.201606,-0.735594,-0.630658,-0.165845,0.183487
530.788800,38210,-0.314261,-0.866225,-0.334416,0.201197,-0.356805,-0.167452,0.896755,-0.357323,-0.426818,-0.199542,-0.765425,-0.602910,-0.160190,0.157998
530.802700,38211,-0.310179,-0.866428,-0.333448,0.200999,-0.361886,-0.164895,0.895236,-0.354476,-0.425438,-0.196211,-0.774377,-0.589961,-0.167172,0.156013
530.816700,38212,-0.306084,-0.866883,-0.332813,0.200846,-0.365741,-0.162493,0.894142,-0.351185,-0.424854,-0.192871,-0.751435,-0.607842,-0.184523,0.178393
530.830500,38213,-0.301985,-0.867355,-0.332387,0.201284,-0.368360,-0.160516,0.893326,-0.347905,-0.425410,-0.188641,-0.719533,-0.633526,-0.202373,0.199907
530.844800,38214,-0.297664,-0.867839,-0.332197,0.202041,-0.369241,-0.158731,0.893110,-0.345325,-0.427604,-0.182272,-0.691773,-0.656134,-0.216252,0.210176
530.858000,38215,-0.293071,-0.868185,-0.332194,0.203181,-0.368704,-0.156751,0.893423,-0.344356,-0.431526,-0.174169,-0.683027,-0.666594,-0.212195,0.210002
530.871700,38216,-0.288344,-0.868544,-0.332376,0.205631,-0.366778,-0.154057,0.894123,-0.345652,-0.436807,-0.163036,-0.686477,-0.671724,-0.194043,0.199709
530.886000,38217,-0.283548,-0.869235,-0.332889,0.209439,-0.363486,-0.150480,0.895192,-0.348705,-0.442630,-0.150245,-0.697185,-0.671675,-0.159900,0.192921
530.899500,38218,-0.278714,-0.870036,-0.333610,0.214186,-0.357943,-0.146480,0.896964,-0.351073,-0.449096,-0.135811,-0.706167,-0.670414,-0.120016,0.193573
530.913300,38219,-0.273820,-0.870572,-0.334592,0.219352,-0.349084,-0.142639,0.899822,-0.354622,-0.456724,-0.115849,-0.709105,-0.672505,-0.078414,0.196871
530.927400,38220,-0.269147,-0.871039,-0.335665,0.223693,-0.339493,-0.139168,0.902961,-0.357450,-0.464557,-0.092960,-0.703289,-0.678438,-0.040223,0.208537
530.941300,38221,-0.264720,-0.871551,-0.336822,0.227401,-0.329460,-0.135638,0.906282,-0.360364,-0.472301,-0.065523,-0.682019,-0.695370,-0.011239,0.226238
530.954900,38222,-0.260656,-0.871934,-0.338160,0.230401,-0.317760,-0.131939,0.910240,-0.362678,-0.480531,-0.035984,-0.655532,-0.712649,0.022746,0.248782
530.969400,38223,-0.257026,-0.872089,-0.339691,0.233409,-0.305047,-0.128126,0.914358,-0.362391,-0.489623,0.000484,-0.621330,-0.729479,0.067030,0.278058
530.982900,38224,-0.253791,-0.872403,-0.341177,0.236816,-0.292492,-0.124593,0.918065,-0.360213,-0.496860,0.039485,-0.590177,-0.738779,0.113170,0.305106
530.996600,38225,-0.251248,-0.872603,-0.342599,0.240082,-0.278995,-0.122340,0.921713,-0.356371,-0.504012,0.081399,-0.558722,-0.738776,0.158948,0.341724
531.010400,38226,-0.249401,-0.872303,-0.343536,0.240523,-0.264946,-0.122176,0.925757,-0.350427,-0.510183,0.126977,-0.528627,-0.724344,0.216414,0.386062
531.025000,38227,-0.248863,-0.871539,-0.343752,0.230246,-0.251244,-0.125763,0.931690,-0.332327,-0.514735,0.180207,-0.525574,-0.677594,0.292068,0.423479
531.038400,38228,-0.248837,-0.871231,-0.344025,0.211883,-0.242577,-0.128009,0.938017,-0.312770,-0.517616,0.229648,-0.519910,-0.637130,0.358286,0.442029
531.052100,38229,-0.249131,-0.871070,-0.344297,0.191744,-0.241035,-0.130474,0.942398,-0.285233,-0.515660,0.280974,-0.506630,-0.597263,0.415891,0.462209
531.065900,38230,-0.249396,-0.870917,-0.344347,0.179722,-0.240982,-0.129519,0.944909,-0.253764,-0.510491,0.330746,-0.480651,-0.557487,0.459603,0.496939
531.079800,38231,-0.250206,-0.871150,-0.344102,0.174733,-0.239957,-0.126369,0.946531,-0.212995,-0.500711,0.379129,-0.446986,-0.509267,0.496311,0.542704
531.093700,38232,-0.251246,-0.871019,-0.343772,0.176328,-0.234236,-0.126062,0.947708,-0.165245,-0.488583,0.422490,-0.411797,-0.450851,0.535839,0.583124
531.107500,38233,-0.252993,-0.870983,-0.342748,0.180348,-0.223501,-0.127626,0.949333,-0.111397,-0.473709,0.459536,-0.376462,-0.390603,0.580005,0.607701
531.121500,38234,-0.254956,-0.870764,-0.341825,0.180235,-0.212389,-0.132074,0.951295,-0.052926,-0.455024,0.489778,-0.340211,-0.329942,0.618495,0.626785
531.135600,38235,-0.257712,-0.870361,-0.340395,0.177490,-0.202392,-0.138341,0.953098,0.009531,-0.433471,0.512861,-0.308559,-0.266067,0.648688,0.642809
531.149200,38236,-0.260677,-0.870003,-0.338825,0.174429,-0.196184,-0.141198,0.954541,0.073830,-0.409264,0.527951,-0.291721,-0.190785,0.670061,0.655377
531.163100,38237,-0.264168,-0.869844,-0.337039,0.170463,-0.193715,-0.143506,0.955418,0.139621,-0.387095,0.537626,-0.277109,-0.103815,0.686585,0.664104
531.177200,38238,-0.268215,-0.869753,-0.334804,0.167335,-0.194451,-0.146034,0.955438,0.208736,-0.365882,0.530634,-0.248211,-0.018278,0.711709,0.656908
531.190900,38239,-0.272658,-0.869707,-0.332322,0.165498,-0.195827,-0.149073,0.955008,0.272480,-0.346399,0.517694,-0.208709,0.045169,0.735797,0.642653
531.204800,38240,-0.277206,-0.869622,-0.329672,0.163849,-0.196160,-0.152959,0.954609,0.332434,-0.326095,0.500520,-0.162507,0.096411,0.749692,0.634238
531.218900,38241,-0.282295,-0.869412,-0.326617,0.161931,-0.196930,-0.159808,0.953655,0.388524,-0.304117,0.469072,-0.123280,0.150102,0.754544,0.626845
531.232600,38242,-0.287938,-0.868743,-0.322876,0.157690,-0.198417,-0.170952,0.952124,0.439950,-0.285526,0.436856,-0.084857,0.211735,0.770093,0.595755
531.246500,38243,-0.293378,-0.868016,-0.319270,0.150645,-0.201821,-0.182693,0.950367,0.480056,-0.269538,0.397922,-0.028150,0.254217,0.801767,0.540140
531.260600,38244,-0.298982,-0.867292,-0.315432,0.142605,-0.208982,-0.195296,0.947550,0.512716,-0.252686,0.362419,0.028196,0.287630,0.819697,0.494541
531.274400,38245,-0.304737,-0.866037,-0.310818,0.136566,-0.219592,-0.207107,0.943523,0.535112,-0.237258,0.328561,0.057457,0.331091,0.813224,0.475125
531.288300,38246,-0.310370,-0.864213,-0.305796,0.131453,-0.234131,-0.218372,0.938198,0.548760,-0.226053,0.299374,0.057372,0.390919,0.777027,0.490021
531.302600,38247,-0.315464,-0.861970,-0.300730,0.128628,-0.253010,-0.227861,0.931408,0.562908,-0.215069,0.275682,0.058080,0.425322,0.748885,0.504875
531.316200,38248,-0.319255,-0.860034,-0.296159,0.126617,-0.276225,-0.234273,0.923463,0.572568,-0.203531,0.257581,0.048323,0.440381,0.728472,0.522550
531.329800,38249,-0.321926,-0.858119,-0.291586,0.124440,-0.304263,-0.236942,0.914220,0.580128,-0.193649,0.240402,0.026491,0.448988,0.716798,0.532831
531.344100,38250,-0.324449,-0.856883,-0.287017,0.121928,-0.331168,-0.236123,0.905377,0.587732,-0.185065,0.224841,0.009570,0.449813,0.713060,0.537701
